"name"
"Births per person in population"
"Births per woman in age band"
"Births per woman"
"Deaths per live birth"
"Deaths per person in population"
"Male births per female birth"
"Net rate of migration"
"Number of births"
"Number of deaths"
"Number of people"
"Number of survivors"
"Probability"
"Years"
